regione	popolazione	comuni	province
Lombardia	10018806	1527	12
Lazio	5898124	378	5
Campania	5839084	550	5
Sicilia	5056641	390	9
Veneto	4907529	576	7
Emilia-Romagna	4448841	334	9
Piemonte	4392526	1202	8
Puglia	4063888	258	6
Toscana	3742437	279	10
Calabria	1965128	409	5
Sardegna	1653135	377	8
Liguria	1565307	235	4
Marche	1538055	234	5
Abruzzo	1322247	305	4
Friuli Venezia Giulia	1217872	216	4
P.A. Bolzano	500000	143	1
P.A. Trento	562860	150	1
Umbria	888908	92	2
Basilicata	570365	131	2
Molise	310449	136	2
Valle d'Aosta	126883	74	1